Attribute;Question;Answer;Indication;Weight
**ELEMENT**;See chapter :ref:`usage/generic:file path checks`;;;
**MD5/SHA1/SHA256**;Is the hash field empty (this means: File was not found during the scan);Yes;;
**MD5/SHA1/SHA256**;See chapter :ref:`usage/generic:hash checks` for generic checks on hashes;;;
