Attribute;Question;Answer;Indication;Weight
PASSWORD;Does the password start with 3 digits that could indicate password that is easy to guess? (e.g. pas*******, win******, Def*****);Yes;Bad;Medium
USER;Is the user name a default user account that attackers could easily use without attracting attention? (e.g. Administrator, Admin);Yes;Bad;Medium
